career_name,combined_text
Attorney,"Attorney Associate Onsite Litigation, Legal Research, Legal Documents Drafting, Legal Analysis, Depositions, Hearings, Court Proceedings, Client Collaboration, Opposing Counsel Collaboration, Internal Teams Collaboration, Legal Strategy, Legislation Awareness, Regulations Awareness Litigation, Legal Research, Legal Documents Drafting, Legal Analysis, Depositions, Hearings, Court Proceedings, Client Collaboration, Opposing Counsel Collaboration, Internal Teams Collaboration, Legal Strategy, Legislation Awareness, Regulations Awareness This is a CONTRACT-TO-HIRE opportunity. Please only apply if currently unemployed.
Must be local to Chicago
Must have 2+ years of experience
Seeking a skilled Litigation Attorney with at least 2 years of experience.
The ideal candidate should possess exceptional research, writing, and analytical skills, with a proven track record of superior academic performance.
The attorney will handle various aspects of litigation, including depositions, motions, and cases.
Duties:
Manage and handle all phases of litigation
Conduct legal research, draft legal documents, and provide well-reasoned legal analysis
Attend and represent the organization at depositions, hearings, and court proceedings
Collaborate with clients, opposing counsel, and internal teams to strategize and execute legal strategies
Stay informed about changes in laws and regulations relevant to litigation
Requirements: Minimum of 2 years of litigation experience
Show more
Show less"
Desktop Technician,"Desktop Technician Associate Onsite Technical support, Hardware repair, Software installation, Preventative maintenance, IMAC installation, Move add change, Onboarding, Knowledge base creation, Escalation of critical issues, Imaging of laptops and desktops, Network cable testing and termination, Meeting room AV equipment support, Server installation repair and maintenance, Network troubleshooting, Mobility incident requests, Deployment of mobile devices, Troubleshooting of mobility issues, Switch and router installation and replacement Technical support, Hardware repair, Software installation, Preventative maintenance, IMAC installation, Move add change, Onboarding, Knowledge base creation, Escalation of critical issues, Imaging of laptops and desktops, Network cable testing and termination, Meeting room AV equipment support, Server installation repair and maintenance, Network troubleshooting, Mobility incident requests, Deployment of mobile devices, Troubleshooting of mobility issues, Switch and router installation and replacement J ob summary: Resolve technical support issues that cannot be resolved via telephone by Service Desk in person or using remote tools. Diagnose and repair hardware problems set up configure and test equipment. Perform preventative maintenance and install upgrades and options. Ownership of incidents requests from start until resolution. All aspects of IMAC Install Move Add Change including onboards. Resolve walk up requests for assistance including business hour. Support at walk up windows across North America.
Roles & Responsibilities
"" Maintain technical knowledge on our company's applications and services
"" Maintain technical expertise and knowledge regarding upgrades and new hardware and software brought into the company
"" Creation verification of Knowledge Base KB articles
"" Analyze document and escalate critical issues to appropriate support groups Image laptops and desktops
"" Test terminate network cables
"" Setup support of computer and AV equipment meeting room support and support of technologies used by attendees
"" Assist with server installs repairs and maintenance as required
"" Assist with network issues and performance issues
"" Assist with mobility incident requests as required
"" Deployment of mobility devices spare loaner as required
"" Assist with switch and router installs and replacements
Show more
Show less"
"Lead Carpenter in Bethel, AK, USA","Lead Carpenter in Bethel, AK, USA Mid senior Onsite Carpentry, Construction Logistics, Electrical, Plumbing, Materials Management Carpentry, Construction Logistics, Electrical, Plumbing, Materials Management We are looking for a Lead Carpenter
Energy Jobline would like to introduce the role of Lead Carpenter based in Bethel, AK, USA. If you think you are a suitable match for this role, please hit the apply button for more details.
General understanding of electrical and plumbing. * Manage materials and supplies as necessary to facilitate the efficient progression of work on the job. * Understand construction logistics in Rural ...
PLEASE NOTE:
This job is supplied by a trusted partner. In order to read the full job description please click the 'apply' button. If you are a registered site member with an uploaded CV, you will be passed straight through. If not, then you will be asked to register a free account with us.
Show more
Show less"
"On-Demand: Guest Advocate (Cashier), General Merchandise, Fulfillment, Food and Beverage, Style (T1205)","On-Demand: Guest Advocate (Cashier), General Merchandise, Fulfillment, Food and Beverage, Style (T1205) Mid senior Onsite Communication skills, Problem solving, Decision making, Adaptability, Guest service, Sales skills, Cashier skills, Product knowledge, Safety compliance, Teamwork, Attention to detail, Multitasking, Technology adaptation, Cash handling, Merchandise handling, Flexible schedule, Active engagement, Americans with Disabilities Act (ADA) Communication skills, Problem solving, Decision making, Adaptability, Guest service, Sales skills, Cashier skills, Product knowledge, Safety compliance, Teamwork, Attention to detail, Multitasking, Technology adaptation, Cash handling, Merchandise handling, Flexible schedule, Active engagement, Americans with Disabilities Act (ADA) Description: The Starting Hourly Rate / Salario por Hora Inicial is $17.00 USD per hour. The Pay Range / Rango salarial is $17.00 USD - $25.50 USD per hour.
ALL ABOUT TARGET
As a Fortune 50 company with more than 400,000 team members worldwide, Target is an iconic brand and one of America's leading retailers.
Working at Target means the opportunity to help all families discover the joy of everyday life. Caring for our communities is woven into who we are, and we invest in the places we collectively live, work and play. We prioritize relationships, fuel and develop talent by creating growth opportunities, and succeed as one Target team. At our core, our purpose is ingrained in who we are, what we value, and how we work. It's how we care, grow, and win together.
ALL ABOUT ON DEMAND
You can work as much or as little as you like as an On-Demand TM and your schedule may vary depending on shift availability and store needs. This role is ideal for those that are looking for a personalized work schedule.
As an On-Demand TM
you will not be included on the posted weekly schedule, but rather will have the opportunity to create your own schedule by picking up shifts posted by leaders or other team members (via our myTime mobile scheduling app) that work best with your schedule.
We require your active engagement by picking up and working shifts as well as responding to our attempts at contact.
We will contact you throughout the year (via your provided contact information) and confirm your ability and interest in working shifts at Target. If we do not receive a response to our communication attempts, your employment with Target will be administratively terminated.
Regular attendance is necessary and you must work at least one shift within 6 months or you will be administratively terminated.
Your communication and ability to work when our business demands it most are critical to your success in this role.
Should you be offered a position as an On-Demand TM, you will be required to attend a Target Welcome orientation and commit to a short-term structured training schedule to ensure you are properly prepared for your new role. After that, the myTime mobile scheduling app is where you can pick up the shifts you desire to work.
ALL ABOUT SERVICE & ENGAGEMENT
Advocates of guest experience who welcome, thank, and exceed guest service expectations by focusing on guest interaction and recovery. Advocates of both physical and digital services and solutions who are knowledgeable about capabilities and features that drive adoption, usage and ultimately guest loyalty. Empowered to make shopping effortless and seamless for guests at the checklanes, guest services, gift registry, pick-up and drive up.
At Target, We Believe In Our Team Members Having Meaningful Experiences That Help Them Build And Develop Skills For a Career. The Role Of a Guest Advocate Can Provide You With The:
Ability to communicate and interact with guests to build an inclusive guest experience
Ability to blend problem solving and decision making to positively impact the guest experience and resolve guest concerns
Ability to adapt to different guest interactions and situations
Experience promoting and selling various benefits, offerings and services
As a Guest Advocate, No Two Days Are Ever The Same, But a Typical Day Will Most Likely Include The Following Responsibilities:
Demonstrate a service culture that prioritizes the guest service experience by delivering the service standard
Create a welcoming experience by authentically greeting all guests
Observe to quickly understand whether a guest needs assistance or wants to interact. Follow body language and verbal clues to tailor your approach
Engage with guests in a genuine way, which includes asking questions to better understand their specific needs
Be knowledgeable about the tools, products, and services available in the total store, and specific to your area, to solve issues for the guest and improve their experience
Thank the guest in a genuine way and let them know we’re happy they chose to shop at Target
Scan and bag all guest items efficiently, neatly and in compliance with food safety standards and company best practices
Work efficiently to minimize guest wait time while maintaining guest service and accuracy
Make the guest aware of current and upcoming brand launches, store activities and events
Speak to the benefits of the Target RedCard with every guest and assist them through the application process
Be familiar with all fulfillment services, and know how to direct the guest to enroll, activate and use them
Understand and show guests how to use Wallet and the other features and offerings within the Target App
Attempt every return and follow register prompts, be empowered to make it right for the guest while following Targets policies and procedures
Make it right for the guest by de-escalating any negative situations and recover the guest shopping experience while following Target’s policies and procedures
Deliver easy and seamless service to all Order Pick Up, Drive Up, and Registry guests
Maintain a clean, clutter free work area (including gathering abandoned items, baskets, and hangers)Stock supplies during store open hours while being available for the guest
Demonstrate a culture of ethical conduct, safety and compliance
Work in a safe manner at all times to benefit yourself and others; identify and correct hazards; comply with all safety policies and best practices.
Support guest services such order pick up (OPU) and Drive-up (DU) and maintain a compliance culture while executing those duties, such as compliance with federal, state, and local adult beverage laws.
All other duties based on business needs
What We Are Looking For
We might be a great match if:
Working in a fun and energetic environment makes you excited…. We work efficiently and as a team to deliver for our guests
Providing service to our guests that makes them say I LOVE TARGET! excites you…. That’s why we love working at Target
You enjoy interacting with people all day and making things easy for others…. Interacting with guests, solving concerns and making the guests day better is core of what we do
You aren’t looking for Monday thru Friday job where you are at a computer all day… We are busy all day (especially on the weekends), making it easy for the guest to feel welcomed, inspired and rewarded
The Good News Is That We Have Some Amazing Training That Will Help Teach You Everything You Need To Know To Be a Guest Advocate. But, There Are a Few Skills You Should Have From The Get-go:
Communicating effectively, including using positive language and attentive to guests needs
Welcoming and helpful attitude toward guests and other team members
Attention to detail while multi-tasking
Willing to educate guests and sell products and services
Learn and adapt to evolving technology needs
Work both independently and with a team
We Are An Awesome Place To Work And Care About Our Teams, So We Want To Make Sure We Are Clear On a Few More Basics That We Expect:
Accurately handle cash register operations and cash transactions
Scan, handle and move merchandise efficiently and safely, including frequently lifting or moving merchandise up to 15 pounds and occasionally lifting or moving merchandise up to 40 pounds
Flexible work schedule (e.g., nights, weekends and holidays) and regular attendance necessary
You can work as much or as little as you like as an on-demand TM, however, we ask for your active engagement by picking up and working shifts (via our myTime mobile App) as well as responding at our attempts at contact. We will contact you throughout the year (via your provided contact information) and confirm your ability and interest in working shifts at Target. If we do not receive a response your employment with Target will be administratively terminated. You must work at least one shift within 6 months or you will be administratively terminated.
Americans With Disabilities Act (ADA)
Target will provide reasonable accommodations with the application process upon your request as required to comply with applicable laws. If you have a disability and require assistance in this application process, please visit your nearest Target store or Supply Chain Facility or reach out to Guest Services at 1-800-440-0680 for additional information.
Show more
Show less"
Host/Hostess,"Host/Hostess Mid senior Onsite Communication skills, Customer service skills, Ability to multitask, Ability to work independently, Ability to work in a fastpaced environment, Ability to lift heavy objects, Ability to follow instructions, Ability to work as part of a team, Ability to handle cash and make change, Ability to process payments, Ability to greet guests in a friendly and welcoming manner, Ability to suggest new menu items to guests, Ability to help with beverage orders, Ability to clean and assist other team members Communication skills, Customer service skills, Ability to multitask, Ability to work independently, Ability to work in a fastpaced environment, Ability to lift heavy objects, Ability to follow instructions, Ability to work as part of a team, Ability to handle cash and make change, Ability to process payments, Ability to greet guests in a friendly and welcoming manner, Ability to suggest new menu items to guests, Ability to help with beverage orders, Ability to clean and assist other team members This job posting is for employment at an independently owned and operated franchisee of Denny’s.
At Denny’s, we love feeding people. If you have a passion for food and serving others, see what your future can hold at Denny’s!
Responsibilities
As a Host/Hostess, you play a special role for our guests. You are often their first impression and last impression, and we count on you to make them feel at home. Responsibilities include:
Greeting guests in a warm, friendly, smiling manner that welcomes them into our restaurant and sets the stage for a positive experience.
Engaging in friendly conversation as you suggest new menu items, process payments, make correct change and help with the beverage orders for guests.
Completing side work, clean and assist other team members as needed.
Additional Information
This job posting is for a position in a restaurant owned and operated by an independent franchisee, not Denny’s, Inc. This means the independent franchisee, and not Denny’s, Inc. is alone responsible for all employment related matters in the restaurant including, among other things, setting any requirements for this job and all decisions concerning hiring, firing, discipline, supervisions, staffing and scheduling. Denny’s, Inc. will not receive a copy of any application you submit for this job posting and will have no control over whether you receive an interview and/or are ultimately hired, does not control and is not responsible for the employment policies and practices of independent franchisees, and does not employ independent franchisees’ employees. If you are hired for this job posting, the independent franchisee, and not Denny’s, Inc., will be your employer.
This job posting contains some general information about what it is like to work in a Denny’s restaurant, but is not a complete job description. People who work in a Denny’s restaurant perform a number of different tasks every day, and this posting does not list all of the essential functions of the job.
Our brand is committed to providing equal employment opportunity for all persons regardless of age, race, creed, color, national origin, citizenship status, religion, sex, sexual orientation, gender identity, disability, genetic information, military or veteran's status, criminal background, or any other characteristic protected by Federal, State, or local law.
Preferred Qualifications
Legally authorized to work in the United States
18 years or older
Show more
Show less"
Sr Lab Technician,"Sr Lab Technician Mid senior Onsite Lab Technician, Analytical Chemistry, Standard Operating Procedures, Chain of Custody, GC/MS, LC/MS/MS, Laboratory Information System (LIS), Biological Specimens, Chemicals, Equipment, Instruments, Microsoft Office Suite, Bachelor's Degree in Chemistry, One year of experience in an Analytical Lab, Safely work with Biological Specimens Chemicals Equipment and Instruments. Lab Technician, Analytical Chemistry, Standard Operating Procedures, Chain of Custody, GC/MS, LC/MS/MS, Laboratory Information System (LIS), Biological Specimens, Chemicals, Equipment, Instruments, Microsoft Office Suite, Bachelors Degree in Chemistry, One year of experience in an Analytical Lab, Safely work with Biological Specimens Chemicals Equipment and Instruments. Hello, this is Vydehi from Intellectt Inc. One of our clients is looking for a
Sr. lab technician in Santa Rosa, CA.
If you are interested send me your updated resume to my email Vydehi@intellectt.com or you can reach me through my number 732-355-7412.
Role: Lab Tech Sr.
Location: Santa Rosa, CA
Shift: 12:00 PM to 08:30 PM
Job Description
Bachelor's degree in chemistry or related field required. Previously lab experience preferred.
Read, understand, and follow written Standard Operating Procedures
Correctly identify analyzed samples and verify the accuracy of sequence for each batch
Process acquired instrument data and generate appropriate reports
Conduct the first review of GC/MS and/or LC/MS/MS analytical data by each assay SOP
Transcribe or upload results to the LIS for final review and certification
Maintain proper and adequate Chain of Custody batch documentation
Communication with supervisors and prompt escalation of emerging challenges
A bachelor's degree in chemistry, analytical chemistry, or a related field
At least one year of experience working in an analytical lab.
The ability to work safely with biological specimens, chemicals, equipment, and instruments.
Show more
Show less"
SECURITY SPECIALIST,"SECURITY SPECIALIST Mid senior Onsite U.S. Citizenship, Security Clearance, Drug Testing, Preemployment Physical, Mastery of Security Knowledge, Extensive Knowledge of AFMC's Mission, Comprehensive Knowledge of Information Security, Expert Knowledge of GSA Specifications, Expert Knowledge of Analytical Methods, Skill in Communication Methods, Ability to Manage Program Activities, Ability to Travel, National Security Position, Department of Defense Certifications U.S. Citizenship, Security Clearance, Drug Testing, Preemployment Physical, Mastery of Security Knowledge, Extensive Knowledge of AFMCs Mission, Comprehensive Knowledge of Information Security, Expert Knowledge of GSA Specifications, Expert Knowledge of Analytical Methods, Skill in Communication Methods, Ability to Manage Program Activities, Ability to Travel, National Security Position, Department of Defense Certifications LinkedIn does not support Internet Explorer 11 (or below) and the LinkedIn experience may be suboptimal. LinkedIn recommends moving to another browser.
Come be a part of something big! Smart Minds, Cool Jobs and Awesome Rewards! Fueled by innovation, talent and ambition, the Air Force Civilian Service (AFCS) is seeking civilian professionals prepared to deploy war-winning capabilities on behalf of the United States Air Force.
The Air Force Civilian Service (AFCS) is looking for a Full-Time SECURITY SPECIALIST (NH-0080-03) to work at Air Force Materiel Command (AFMC) in the Ogden Air Logistics Center (OO-ALC) at Hill Air Force Base in Davis County, UT. This federal job offers a rewarding and exciting career with benefits.
This job may close at any time! Apply now!!!
Recruitment, Relocation, Retention and Student Loan Incentives may be authorized.
Roster may be used to fill vacancies Complex wide for the next 120 days.
Salary Range ($82,830-$128,043) Yearly
Job Open Date 1/08/2024
Job Close Date 1/15/2024
The primary purpose of this position is: To protect the organization from espionage, terrorism, and threats of unauthorized disclosure and/or compromise of information considered vita l to mission interests, national defense and national security by serving as a Security Manager, providing security program functions in support of the organization.
Qualifications
:
- U.S. Citizenship
- Obtain & maintain Security clearance
- This may be a designated Drug Testing Position
- Must be able to pass a pre-employment physical (if applicable)
Recruitment Knowledge Skills and Abilities
:
- Mastery of knowledge of a wide range of security specialties, concepts, principles, criteria, requirements, technology, and practices to independently manage assigned programs.
- Extensive knowledge of AFMC’s mission, functions, and structure to the unit level to ensure effective implementation and oversight of special programs security concepts, principles, and practices.
- Comprehensive knowledge of all Information Security disciplines and governing policies, directives, instructions, and procedures.
- Expert knowledge of General Supply Administration (GSA) specifications; state-of-the-art detection and surveillance systems, construction standards, automated data processing systems and other security concepts to integrate the requirements of all security disciplines into guidance for the implementation and management of the AFMC special programs information security program.
- Expert knowledge of analytical and evaluative methods and techniques to conduct surveys/studies, accomplish projects, and effectively evaluate results for the effective management and completion of programs.
- Skill in communication methods and techniques at various levels and venues.
- Able to effectively manage and organize various program activities and tasks, singularly and together, and familiar with administrative requirements of USAF and AFMC.
- The employee may be required to travel on military and commercial aircraft to perform temporary duty.
- This position is a designated National Security Position.
- Department of Defense Security Fundamentals Professional Certification (SFPC), and Security Asset Protection Professional Certification (SAPPC) conferrals are required within 2 years of the established employee EOD or initial assignment date to this position in accordance with DOD 3305.13-M, DoD Security Accreditation and Certification and AFI 36-2645, Security Professional Certification and Development. The listed certification requirements may not be deleted or modified without the written approval of the AF Security Functional Authority (SAF/AA) or their delegated security career field representative.
Click the apply button to complete an application and upload resume (PDF Form) and/or additional documents (Transcripts, certifications, Vet Docs (DD214), SF-50).
To receive additional information about current and future job openings with AFCS via email notification, please register at www.Afciviliancareers.com and sign up to “Get Career Updates.”
Equal Opportunity Employer. U.S. citizenship required. Must be of legal working age.
Show more
Show less"
Exceptional Achievers Temporary Teacher (Immediately until 2/1/24),"Exceptional Achievers Temporary Teacher (Immediately until 2/1/24) Mid senior Onsite I cannot extract the requested data as the context provided does not contain any relevant information regarding technical skills frameworks languages softwares concepts or requirements. I cannot extract the requested data as the context provided does not contain any relevant information regarding technical skills frameworks languages softwares concepts or requirements. Description
https://www.applitrack.com/munster/onlineapp/1BrowseFile.aspx?id=55779
Application Procedure
https://www.applitrack.com/munster/onlineapp/_application.aspx?starting=true
Show more
Show less"
Operations Manager,"Operations Manager Mid senior Onsite Hotel Operations Management, Guest Service Management, Budget Management, Labor Management, Personnel Management, Leadership, Training and Development, Program Development, Succession Planning, Human Resources, Cost Control, Procurement, Environmental Sustainability, Hotel Management System, Accounting System, Facilities Management Software, Performance Management, Front Office Equipment, Chart of Accounts, Franchise Policy, Online Reputation Management, Feedback Collection, ProblemSolving, Customer Service, Teamwork, Communication Skills, Leadership Skills, Conflict Resolution, Work Ethic, Positive Attitude, Professionalism, Attention to Detail, Adaptability, Flexibility, Analytical Skills, Initiative, Problem Solving Hotel Operations Management, Guest Service Management, Budget Management, Labor Management, Personnel Management, Leadership, Training and Development, Program Development, Succession Planning, Human Resources, Cost Control, Procurement, Environmental Sustainability, Hotel Management System, Accounting System, Facilities Management Software, Performance Management, Front Office Equipment, Chart of Accounts, Franchise Policy, Online Reputation Management, Feedback Collection, ProblemSolving, Customer Service, Teamwork, Communication Skills, Leadership Skills, Conflict Resolution, Work Ethic, Positive Attitude, Professionalism, Attention to Detail, Adaptability, Flexibility, Analytical Skills, Initiative, Problem Solving Department – Executive Office
Reports to – General Manager
What’s the job?
As a key member of the property leadership team, the Operations Manager works closely with the General Manager to oversee and guide the total operations of the property. You will be responsible for assisting with the overall performance of the property’s operations, including (but not limited to) guest satisfaction, brand quality assurance, budget, labor, and personnel management. As Operations Manager, you support the successful execution of all operational departments in the hotel which may include Front Office, Housekeeping, Complimentary Breakfast and Engineering/Maintenance. The Operations Manager will be the champion of the hotel’s operations and serve as an extension of the General Manager in their absence.
Your day-to-day
Guest Experience
Ensure the hotel exceeds Opal goals and brand standards for guest satisfaction and service.
Collaborate with colleagues and hotel team members to establish and implement services and programs that meet or exceed guest expectations.
Serve and build relationships with guests – ask for their feedback and show them hospitality.
Represent and build the hotel’s online reputation on review sites.
Communicate daily activity and guest feedback with all other hotel department managers.
Serve and build relationships with guests – ask for their feedback and show them hospitality.
You will train fellow associates as it relates to brand and company standards to maximize revenue and reinforce superior service culture.
Leadership
As Operations Manager, you will have a comprehensive and authoritative knowledge of all Operations departments.
Motivate, coach / mentor, and train team members, set goals and hold team members accountable.
Provide feedback, rewards, and recognition to team members.
Develop programs and initiatives to increase team engagement that are aligned with the service philosophy.
Develop, implement, and monitor team member succession planning to ensure future bench strength.
Oversee HR related actions in accordance with rules and policies, includes active participation in team member recruitment and on-boarding.
Demonstrate a high level of integrity, take ownership of personal and team actions, communicate effectively, promote collaboration, nurture a positive, professional work environment, and adhere to Opal’s Standard Operating Procedures.
Perform other duties as assigned. May also serve as manager on duty, breakfast host, front desk associate and/or Sales Manager.
Cost Control
Effectively manage and control all operational expenses, including front desk, breakfast area, labor, overtime, food and market, supplies, etc., enforce Opal’s procurement guidelines.
Continually seek and implement cost saving strategies.
Develop and carry out action plans to be environmentally conscious by taking steps to reduce the hotel’s carbon footprint.
Requirements
High school diploma or higher-level education
Two years minimum experience in a hotel supervisor/managerial position
Must be a strong leader, self-motivator, team builder and willing to work 50+ hours per week with flexibility (minimum five days per week).
Must speak fluent English (other languages preferred)
Specific Requirements
Be proficient in the use of the property management system, accounting system, and facilities management software; train team members on all requisite systems.
Have a functional understanding of all operations department operational procedures.
Enforce all existing and new policies and procedures for all Operations departments.
Maintain proper staffing in all Front Desk, breakfast, and housekeeping areas according to occupancy levels.
Conduct regular performance reviews and provide feedback to hourly team members.
Send a daily end of the day activity and accomplishment email to the General Manager and a copy to the Opal Director of Operations.
Constantly monitor front office communications logs.
Monitor the appearance of all staff, to ensure they are following company uniform policy.
Be the hotel champion for attaining loyalty enrollment goals
Conduct daily huddles and individual meetings as needed.
Participate in all departmental meetings with the General Manager.
Supervise delegated responsibilities and follows up.
Be proficient in the use of all front office equipment such as credit card machine, copier and fax.
Maintain all equipment, conduct inventories as per standard operating procedures, and maintain office and breakfast area supplies at par.
Effectively communicate unique situations, unusual developments or problems with GM and leadership team.
Handle guest complaints effectively and hospitably, in accordance with Opal and Brand standards.
Be willing and able to work any shift, including night audit and fill in when other employees are not able to work their scheduled shift.
Complete weekly schedules for assigned departments per standard operating procedures.
Understand the Chart of Accounts in order to code hotel invoices for the Front Office and the breakfast area.
Process reservations and cancellations by mail, telephone, fax and central reservation systems referrals.
Process reservations and cancellations received from sales office and other hotel departments.
Have complete knowledge of room types and offered rate plans.
Open and close out discount rates on reservation systems when applicable.
Fully understand the hotel’s franchise policy on guaranteed reservations and no-shows.
Exhibit exceptional leadership skills.
Promote goodwill by being courteous, friendly, and helpful to guests, managers, and all other associates.
Respond to Franchise guest surveys and online reviews (TripAdvisor, Google, Expedia, etc.).
Research and prepare responses to credit card chargeback disputes.
Optimum Attributes
Effective communication skills
Pleasing Personality
Team player
Great listener
Open with praise, discreet with criticism
Willing to work on weekends and holidays as required
Well-groomed and professional appearance
Tech-savvy
Performance Standards
Performance Shall Be Measured By The Following
Budgeted RevPAR
STR Report RevPAR Index
Guest Service Index (GSS)
Associate Standard Index (ASI)
The statements in this job description are intended to represent the key duties and level of work being performed. They are not intended to be ALL responsibilities or qualifications of the job.
Equal Opportunities Employer
Show more
Show less"
Landscape Designer/Sales,"Landscape Designer/Sales Mid senior Onsite Landscape Architecture, Civil Engineering, Hardscaping, Plant identification, Hardscape techniques, Irrigation installation/service, Snow estimating/operations, Sales Experience, Microsoft Office products, CAD or like software, Valid driver's license, DOT Health Card, Health & Dental Insurance, Retirement Plan, Paid Time Off, Training Incentives, Annual Merit Reviews, Advancement with Growth Potential Landscape Architecture, Civil Engineering, Hardscaping, Plant identification, Hardscape techniques, Irrigation installation/service, Snow estimating/operations, Sales Experience, Microsoft Office products, CAD or like software, Valid drivers license, DOT Health Card, Health & Dental Insurance, Retirement Plan, Paid Time Off, Training Incentives, Annual Merit Reviews, Advancement with Growth Potential Landscaping by J. Michael is looking for a Landscape Designer/Estimator to join our Marshfield office.
The ideal candidate is a resourceful self-starter who is not only a team player, but also capable of working independently; well versed in New England plant identification and care; has a strong understanding of construction materials and processes using popular hardscaping products. Has a proven track record for selling and closing jobs.
JOB SUMMARY:
Seek bidding opportunities with new and existing clients. Visit job sites to ensure the quality of work is performed to company standard.
RESPONSIBILITIES AND DUTIES:
Meeting clients and seeking the client needs.
Develop and manage bidding schedules, pre-meetings and estimate requirements to profitably secure projects in a timely and cost effective manner.
Maintain a positive business relation with new and existing clients.
Initiate follow-up on current, future and past bids in order to secure work and create company backlog.
Manage and Assist crews daily work as requested; must be able to work with crews in the event a Crew Member is absent, behind schedule, minor warranty work, and/or at the request of the General Manager or Operations Manager.
Snow Operations work required for year round employment potential.
QUALIFICATIONS:
Bachelor's Degree in Landscape Architecture or Civil Engineering or equivalent work experience; 3+ years of recent industry experience
Knowledge of hardscape techniques, plant identification, irrigation installation/service and snow estimating/operations.
3-5 years Sales Experience.
Excellent verbal and written communication skills
Has managed and train workers
Proficient in Microsoft Office products
Design software skills using CAD or like software
Valid driver's license
Valid DOT Health Card or the ability to obtain one
BENEFITS:
Health & Dental Insurance
Retirement Plan with Company Match
Paid Time Off
Training Incentives
Annual Merit Reviews
Advancement with Growth Potential
Powered by JazzHR
9fb6dJddz9
Show more
Show less"
Mechanical Assembler,"Mechanical Assembler Associate Onsite Mechanical Assembly, ElectroMechanical Systems, SubSystems, Polyurethane Encapsulation, Soldering, Lab Equipment, Oscilloscopes, Digital Multimeters, Impedance Analyzers, Quality Standards, 5S, Root Cause Analysis, Kaizen, Standard Work Instructions, CrossTraining, Mentoring, ElectroMechanical Products, DoD Customer Requirements, Solder Certification, Hand Tools, Power Tools, Shop Equipment, CAD, Solidworks, Microsoft Office, Electrostatic Discharge Safety, Foreign Object Debris, EH&S Requirements, Hazmat Handling, Overhead Jib/Crane Operation, Forklift Operation, Production Stress Screen Machine Setup, Changeover, Single Piece Flow Assembly, ISO 9001:2015 Quality Management Standards, Lean Manufacturing, Scales, Vacuum Mixers, Autoclave Mechanical Assembly, ElectroMechanical Systems, SubSystems, Polyurethane Encapsulation, Soldering, Lab Equipment, Oscilloscopes, Digital Multimeters, Impedance Analyzers, Quality Standards, 5S, Root Cause Analysis, Kaizen, Standard Work Instructions, CrossTraining, Mentoring, ElectroMechanical Products, DoD Customer Requirements, Solder Certification, Hand Tools, Power Tools, Shop Equipment, CAD, Solidworks, Microsoft Office, Electrostatic Discharge Safety, Foreign Object Debris, EH&S Requirements, Hazmat Handling, Overhead Jib/Crane Operation, Forklift Operation, Production Stress Screen Machine Setup, Changeover, Single Piece Flow Assembly, ISO 9001:2015 Quality Management Standards, Lean Manufacturing, Scales, Vacuum Mixers, Autoclave Mechanical Assembler
needed for a
contract to hire
opportunity with SOC’s client to work
in Lynnwood, Washington.
US Citizen with the ability to obtain a Secret Clearance is required!
Responsibilities
· Assembly of complex electro-mechanical systems and sub-systems including experience with polyurethane encapsulation and soldering.
· Test and data collection using a variety of lab equipment such as: Oscilloscopes, Digital Multimeters, Impedance Analyzers
· Maintaining high quality standards of workmanship throughout the team
· Ensuring an organized and clean workspace (5S) including total preventive maintenance of equipment, tooling, and fixtures.
· Foster the environment of continuous improvement with the use of industry best practices such as Root Cause Analysis and Kaizen.
· Value the importance of following precise Standard Work instructions while empowering team members to contribute to their improvement.
· Be willing to cross train and mentor technicians.
Qualifications
· A solid background in the development, production, delivery, and ongoing support of sophisticated electro-mechanical products that serve DoD customer requirements.
· Solder certification.
· Proficiency with basic hand tools, power tools, and shop equipment.
· Must be able to lift over 40 lbs without assistance.
· Ability to read, interpret, and understand assembly drawings using CAD, Solidworks preferred.
· Ability to work in a team-oriented environment.
· Assemble small components into a space restricted subsystem.
· Competent in the use of Microsoft Office (Word, Excel, PowerPoint, Visio)
· Experience with Electrostatic Discharge Safety, Foreign Object Debris, and EH&S requirements.
· A SECRET security clearance, or an uncompromised ability to rapidly attain one
· A high school diploma or equivalent and 5+ years of prior relevant experience.
Preferred Qualifications
· Hazmat handling experience.
· Experience operating an overhead jib/crane.
· Forklift experience
· Experience picking parts and kitting work orders.
· Production stress screen machine setup, operation, and changeover experience.
· Experience assembling products in single piece flow.
· Knowledge and experience with ISO 9001:2015 Quality Management Standards
· Experience in world-class lean manufacturing
· Assembly of complex electro-mechanical systems and sub-systems including experience with polyurethane encapsulation and soldering.
· Test and data collection using a variety of lab equipment such as: Oscilloscopes, Digital Multimeters, Impedance Analyzers
· Preparing and applying polyurethane encapsulation, epoxies, and primers.
· Able to accurately use scales, vacuum mixers, and an autoclave.
Show more
Show less"
