user_skills,career,required_skills,is_good_match
"testing, teamwork, java, javascript, debugging",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"creativity, data analysis, leadership, java, python, teaching, communication",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"cloud computing, teaching, problem solving, teamwork",Graphic Designer,"design, creativity, communication",0
"leadership, java, teaching, javascript, project management",Graphic Designer,"design, creativity, communication",0
"machine learning, teamwork, communication, design, creativity",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"data analysis, machine learning, writing, creativity, problem solving, debugging",Data Scientist,"python, machine learning, data analysis, sql, problem solving",1
"writing, design, creativity",Graphic Designer,"design, creativity, communication",0
"data analysis, writing, leadership, creativity",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"creativity, teamwork, communication, leadership, python",Teacher,"communication, teaching, leadership, creativity, problem solving",1
"creativity, python, machine learning",Graphic Designer,"design, creativity, communication",0
"communication, teaching, javascript, project management",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"writing, javascript, cloud computing, creativity, debugging, sql, design",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"problem solving, project management, teaching",Project Manager,"leadership, project management, communication, teamwork",0
"teamwork, cloud computing, sql, leadership, data analysis, communication",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"problem solving, python, teamwork, cloud computing",Graphic Designer,"design, creativity, communication",0
"testing, sql, creativity",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"creativity, sql, project management, javascript",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"data analysis, project management, writing, problem solving, design",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"javascript, creativity, cloud computing, project management, writing, teamwork",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"writing, problem solving, data analysis, design",Project Manager,"leadership, project management, communication, teamwork",0
"teamwork, creativity, data analysis, testing, communication, problem solving, design",Project Manager,"leadership, project management, communication, teamwork",0
"teamwork, debugging, python, writing, javascript, testing",Graphic Designer,"design, creativity, communication",0
"sql, project management, design, debugging, communication",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"design, communication, writing",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"data analysis, testing, teamwork",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"problem solving, javascript, python, teaching, communication, sql, design",Data Scientist,"python, machine learning, data analysis, sql, problem solving",1
"sql, communication, problem solving, python",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"java, writing, cloud computing, leadership, project management, data analysis",Graphic Designer,"design, creativity, communication",0
"leadership, problem solving, design, python",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"python, writing, project management, leadership, cloud computing, sql",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"problem solving, writing, javascript",Project Manager,"leadership, project management, communication, teamwork",0
"machine learning, cloud computing, sql, writing, problem solving, testing, leadership",Graphic Designer,"design, creativity, communication",0
"teamwork, problem solving, machine learning",Graphic Designer,"design, creativity, communication",0
"design, debugging, problem solving, teaching, sql",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"python, data analysis, problem solving, project management, teamwork, cloud computing",Data Scientist,"python, machine learning, data analysis, sql, problem solving",1
"communication, leadership, creativity",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"machine learning, testing, teamwork, java, communication",Project Manager,"leadership, project management, communication, teamwork",0
"communication, javascript, writing, sql, testing, debugging",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"machine learning, debugging, sql, testing",Project Manager,"leadership, project management, communication, teamwork",0
"python, machine learning, leadership, cloud computing, debugging",Project Manager,"leadership, project management, communication, teamwork",0
"debugging, python, creativity, problem solving, teamwork, data analysis, java",Data Scientist,"python, machine learning, data analysis, sql, problem solving",1
"design, leadership, problem solving, sql, debugging",Project Manager,"leadership, project management, communication, teamwork",0
"python, project management, data analysis, testing, leadership, teaching",Graphic Designer,"design, creativity, communication",0
"debugging, project management, writing, communication, problem solving, testing",Graphic Designer,"design, creativity, communication",0
"debugging, teamwork, machine learning, javascript, python, design, creativity",Project Manager,"leadership, project management, communication, teamwork",0
"writing, teamwork, testing, data analysis",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"java, teaching, javascript, cloud computing, communication, debugging, data analysis",Graphic Designer,"design, creativity, communication",0
"javascript, teaching, communication, teamwork, cloud computing, testing",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"leadership, project management, problem solving, communication, cloud computing",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"machine learning, python, teaching, javascript, problem solving, teamwork, debugging",Data Scientist,"python, machine learning, data analysis, sql, problem solving",1
"debugging, testing, javascript, sql, creativity, leadership, teaching",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"testing, leadership, sql, project management, communication, debugging",Graphic Designer,"design, creativity, communication",0
"leadership, testing, debugging",Graphic Designer,"design, creativity, communication",0
"java, testing, leadership, creativity, data analysis",Project Manager,"leadership, project management, communication, teamwork",0
"teaching, communication, cloud computing, python",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"problem solving, leadership, teamwork, python, design, writing",Graphic Designer,"design, creativity, communication",0
"project management, teamwork, communication, python, testing, problem solving",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"writing, javascript, leadership, data analysis",Project Manager,"leadership, project management, communication, teamwork",0
"javascript, writing, java, design, cloud computing, teaching",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"problem solving, data analysis, project management, design",Project Manager,"leadership, project management, communication, teamwork",0
"leadership, teaching, teamwork, sql",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"data analysis, sql, python, teamwork",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"creativity, cloud computing, java, teaching, design, problem solving",Project Manager,"leadership, project management, communication, teamwork",0
"communication, writing, problem solving, python, sql, teamwork, javascript",Software Engineer,"python, java, javascript, problem solving, teamwork",1
"teamwork, problem solving, writing, design, testing, teaching",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"creativity, problem solving, java, teamwork, python, cloud computing",Project Manager,"leadership, project management, communication, teamwork",0
"problem solving, javascript, cloud computing, teaching",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"debugging, testing, project management, machine learning, cloud computing",Graphic Designer,"design, creativity, communication",0
"debugging, problem solving, machine learning, writing, testing, sql",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"leadership, communication, project management, debugging, design",Graphic Designer,"design, creativity, communication",0
"teamwork, debugging, writing, design, communication, python",Project Manager,"leadership, project management, communication, teamwork",0
"cloud computing, sql, problem solving, teamwork",Graphic Designer,"design, creativity, communication",0
"teaching, java, leadership",Project Manager,"leadership, project management, communication, teamwork",0
"python, teaching, project management, testing, problem solving, teamwork",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"creativity, javascript, sql, problem solving, cloud computing, java, project management",Software Engineer,"python, java, javascript, problem solving, teamwork",1
"writing, design, leadership, problem solving, teamwork, data analysis, java",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"cloud computing, javascript, communication",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"design, project management, teaching, problem solving",Graphic Designer,"design, creativity, communication",0
"data analysis, teamwork, communication, project management, debugging, java, problem solving",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"sql, cloud computing, testing, javascript, java, communication",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"project management, data analysis, python, debugging, creativity, javascript",Project Manager,"leadership, project management, communication, teamwork",0
"project management, debugging, machine learning, testing",Project Manager,"leadership, project management, communication, teamwork",0
"teaching, design, data analysis, cloud computing, debugging, java",Project Manager,"leadership, project management, communication, teamwork",0
"teamwork, data analysis, leadership, python, problem solving",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"cloud computing, java, data analysis, creativity, testing",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"python, javascript, design, testing",Project Manager,"leadership, project management, communication, teamwork",0
"leadership, python, teaching",Project Manager,"leadership, project management, communication, teamwork",0
"creativity, debugging, python, problem solving, sql, testing",Project Manager,"leadership, project management, communication, teamwork",0
"python, project management, testing",Project Manager,"leadership, project management, communication, teamwork",0
"creativity, python, java, cloud computing, problem solving",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"leadership, design, java",Project Manager,"leadership, project management, communication, teamwork",0
"teaching, project management, writing, creativity, design",Graphic Designer,"design, creativity, communication",0
"testing, design, communication, data analysis, leadership",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"creativity, javascript, writing, java, communication",Project Manager,"leadership, project management, communication, teamwork",0
"machine learning, communication, python, creativity, project management",Project Manager,"leadership, project management, communication, teamwork",0
"javascript, cloud computing, testing, teamwork",Graphic Designer,"design, creativity, communication",0
"java, problem solving, data analysis, design",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"debugging, machine learning, teaching, writing, creativity, javascript, testing",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"sql, communication, javascript, creativity",Project Manager,"leadership, project management, communication, teamwork",0
"writing, teaching, java, design, project management, leadership",Project Manager,"leadership, project management, communication, teamwork",0
"data analysis, machine learning, creativity, communication, design",Project Manager,"leadership, project management, communication, teamwork",0
"writing, java, design",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"problem solving, cloud computing, machine learning, testing",Project Manager,"leadership, project management, communication, teamwork",0
"project management, debugging, creativity, java, teaching",Project Manager,"leadership, project management, communication, teamwork",0
"cloud computing, leadership, teamwork, writing, communication, creativity",Teacher,"communication, teaching, leadership, creativity, problem solving",1
"python, communication, debugging, teaching, teamwork, sql",Graphic Designer,"design, creativity, communication",0
"creativity, project management, teaching, testing, machine learning, cloud computing",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"machine learning, teamwork, design, creativity, writing",Graphic Designer,"design, creativity, communication",0
"teamwork, leadership, testing, machine learning, teaching",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"project management, machine learning, communication, testing, teaching, java",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"teamwork, java, leadership, python",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"project management, data analysis, design",Graphic Designer,"design, creativity, communication",0
"teaching, communication, data analysis",Graphic Designer,"design, creativity, communication",0
"machine learning, teamwork, creativity",Graphic Designer,"design, creativity, communication",0
"problem solving, leadership, python, machine learning, teamwork",Data Scientist,"python, machine learning, data analysis, sql, problem solving",1
"communication, testing, java, sql",Graphic Designer,"design, creativity, communication",0
"teamwork, javascript, project management, problem solving, design, machine learning",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"sql, teaching, data analysis",Graphic Designer,"design, creativity, communication",0
"writing, data analysis, problem solving, design, teamwork, creativity, java",Graphic Designer,"design, creativity, communication",0
"creativity, data analysis, teamwork",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"machine learning, communication, writing, cloud computing",Graphic Designer,"design, creativity, communication",0
"teamwork, sql, cloud computing, creativity",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"teamwork, python, writing",Project Manager,"leadership, project management, communication, teamwork",0
"machine learning, javascript, project management, testing, java, python",Project Manager,"leadership, project management, communication, teamwork",0
"project management, leadership, communication, testing, creativity, machine learning, data analysis",Project Manager,"leadership, project management, communication, teamwork",1
"debugging, python, teamwork",Graphic Designer,"design, creativity, communication",0
"leadership, design, creativity, python, problem solving, java, sql",Graphic Designer,"design, creativity, communication",0
"creativity, teamwork, writing, communication, javascript",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"java, data analysis, teamwork, leadership",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"writing, creativity, design, python, cloud computing",Project Manager,"leadership, project management, communication, teamwork",0
"javascript, debugging, problem solving, teamwork, cloud computing",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"java, machine learning, problem solving, creativity, leadership",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"java, creativity, project management",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"problem solving, python, leadership, sql, cloud computing",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"cloud computing, creativity, data analysis",Graphic Designer,"design, creativity, communication",0
"writing, testing, creativity, data analysis, design, teamwork, teaching",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"communication, creativity, machine learning, sql, teamwork",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"writing, sql, python, problem solving",Data Scientist,"python, machine learning, data analysis, sql, problem solving",1
"creativity, debugging, sql",Project Manager,"leadership, project management, communication, teamwork",0
"javascript, python, teamwork, design",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"javascript, sql, machine learning",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"teamwork, data analysis, writing, debugging, leadership, machine learning, design",Project Manager,"leadership, project management, communication, teamwork",0
"writing, sql, project management, javascript, data analysis",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"leadership, teaching, data analysis, communication, python, java",Project Manager,"leadership, project management, communication, teamwork",0
"python, teamwork, teaching",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"teaching, writing, machine learning",Project Manager,"leadership, project management, communication, teamwork",0
"cloud computing, communication, teamwork, writing, testing, design, java",Graphic Designer,"design, creativity, communication",0
"debugging, teaching, leadership, machine learning, communication, creativity, writing",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"design, testing, problem solving, writing, teaching, creativity",Graphic Designer,"design, creativity, communication",0
"teaching, java, data analysis",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"python, project management, communication",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"sql, machine learning, javascript, writing, teaching, leadership, testing",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"java, machine learning, communication, javascript, teamwork",Software Engineer,"python, java, javascript, problem solving, teamwork",1
"communication, design, teamwork, project management",Graphic Designer,"design, creativity, communication",0
"problem solving, project management, sql, communication",Project Manager,"leadership, project management, communication, teamwork",0
"python, communication, debugging",Project Manager,"leadership, project management, communication, teamwork",0
"project management, writing, design, javascript, python",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"communication, creativity, python, data analysis, javascript, testing",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"debugging, creativity, machine learning, design, python, writing, java",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"design, leadership, data analysis, project management, problem solving",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"javascript, communication, sql, leadership",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"python, data analysis, leadership, writing, sql",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"java, writing, debugging, teamwork, data analysis, cloud computing",Project Manager,"leadership, project management, communication, teamwork",0
"writing, testing, teaching, design",Graphic Designer,"design, creativity, communication",0
"project management, python, java",Project Manager,"leadership, project management, communication, teamwork",0
"debugging, python, writing",Graphic Designer,"design, creativity, communication",0
"writing, machine learning, communication",Graphic Designer,"design, creativity, communication",0
"machine learning, teamwork, project management, cloud computing, creativity, teaching, communication",Graphic Designer,"design, creativity, communication",0
"cloud computing, leadership, communication",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"problem solving, machine learning, teamwork",Project Manager,"leadership, project management, communication, teamwork",0
"java, project management, problem solving, sql, communication",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"teamwork, python, creativity",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"javascript, debugging, java, sql",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"teamwork, leadership, project management",Project Manager,"leadership, project management, communication, teamwork",1
"design, javascript, writing, communication, creativity, sql, machine learning",Project Manager,"leadership, project management, communication, teamwork",0
"python, testing, data analysis",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"writing, python, teamwork, leadership, machine learning",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"writing, communication, machine learning, design",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"machine learning, cloud computing, data analysis, javascript, design",Project Manager,"leadership, project management, communication, teamwork",0
"communication, problem solving, cloud computing",Project Manager,"leadership, project management, communication, teamwork",0
"javascript, data analysis, project management, writing, teaching, testing, machine learning",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"problem solving, project management, machine learning, sql",Graphic Designer,"design, creativity, communication",0
"java, sql, design, project management, teaching",Project Manager,"leadership, project management, communication, teamwork",0
"testing, project management, cloud computing, javascript, communication, writing",Project Manager,"leadership, project management, communication, teamwork",0
"testing, machine learning, debugging, cloud computing",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"project management, debugging, design",Project Manager,"leadership, project management, communication, teamwork",0
"javascript, java, project management, data analysis, debugging, problem solving",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"sql, teaching, java, design, project management, writing, cloud computing",Graphic Designer,"design, creativity, communication",0
"project management, javascript, creativity, teamwork, testing, data analysis, problem solving",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"data analysis, leadership, machine learning",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"debugging, data analysis, sql, design, machine learning, testing",Graphic Designer,"design, creativity, communication",0
"data analysis, sql, javascript",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"leadership, data analysis, project management",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"sql, leadership, creativity, teaching, design, machine learning, python",Data Scientist,"python, machine learning, data analysis, sql, problem solving",1
"javascript, debugging, teaching, machine learning",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"python, java, machine learning, communication, testing, leadership, debugging",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"javascript, machine learning, teamwork, communication, data analysis",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"sql, leadership, writing, teamwork, design, python",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"python, debugging, sql, communication, java, javascript, machine learning",Software Engineer,"python, java, javascript, problem solving, teamwork",1
"machine learning, leadership, sql, cloud computing, problem solving, debugging",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"leadership, cloud computing, javascript, problem solving, design, writing, debugging",Project Manager,"leadership, project management, communication, teamwork",0
"teaching, communication, java, teamwork",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"project management, teamwork, debugging, creativity, sql",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"java, communication, project management, problem solving, cloud computing, leadership, data analysis",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"java, leadership, communication",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"writing, python, teaching, data analysis",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"problem solving, teamwork, python, sql, machine learning, javascript",Data Scientist,"python, machine learning, data analysis, sql, problem solving",1
"debugging, design, project management, teaching, machine learning",Project Manager,"leadership, project management, communication, teamwork",0
"teaching, cloud computing, problem solving, debugging",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"communication, problem solving, javascript, machine learning",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"writing, teaching, teamwork, project management, data analysis, python, java",Graphic Designer,"design, creativity, communication",0
"design, leadership, machine learning, debugging, data analysis, problem solving",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"teaching, python, testing, java, writing, data analysis",Project Manager,"leadership, project management, communication, teamwork",0
"writing, python, creativity",Project Manager,"leadership, project management, communication, teamwork",0
"sql, machine learning, cloud computing, teaching, problem solving, java, design",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"cloud computing, data analysis, design",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"teaching, machine learning, creativity, python, teamwork, sql, java",Graphic Designer,"design, creativity, communication",0
"creativity, java, writing, leadership, testing, python, communication",Project Manager,"leadership, project management, communication, teamwork",0
"teamwork, sql, machine learning, writing, debugging, problem solving, python",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"leadership, java, javascript, python, project management, creativity",Software Engineer,"python, java, javascript, problem solving, teamwork",1
"design, project management, testing",Graphic Designer,"design, creativity, communication",0
"problem solving, project management, creativity, sql, writing, leadership, javascript",Teacher,"communication, teaching, leadership, creativity, problem solving",1
"java, teaching, javascript, leadership, writing, data analysis",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"communication, debugging, sql",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"design, teaching, teamwork",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"writing, design, problem solving, sql",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"machine learning, creativity, leadership, java, writing",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"design, teaching, debugging, javascript, python, machine learning",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"teaching, data analysis, java, project management",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"teamwork, cloud computing, teaching, creativity",Graphic Designer,"design, creativity, communication",0
"debugging, communication, teaching",Project Manager,"leadership, project management, communication, teamwork",0
"testing, creativity, writing, project management, machine learning",Graphic Designer,"design, creativity, communication",0
"teamwork, project management, writing, design, communication, testing, javascript",Graphic Designer,"design, creativity, communication",0
"creativity, writing, data analysis, javascript, teaching",Data Scientist,"python, machine learning, data analysis, sql, problem solving",0
"teaching, communication, project management, sql",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"sql, problem solving, project management, teamwork, debugging, communication, testing",Software Engineer,"python, java, javascript, problem solving, teamwork",0
"writing, machine learning, project management, debugging, teaching, leadership",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"writing, design, data analysis, problem solving, machine learning, cloud computing",Graphic Designer,"design, creativity, communication",0
"design, creativity, machine learning, problem solving, python, debugging",Project Manager,"leadership, project management, communication, teamwork",0
"project management, python, cloud computing, writing, testing",Graphic Designer,"design, creativity, communication",0
"python, cloud computing, design, debugging",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"creativity, communication, java, testing, writing",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"data analysis, sql, machine learning, leadership, debugging, creativity, teaching",Project Manager,"leadership, project management, communication, teamwork",0
"data analysis, machine learning, cloud computing",Teacher,"communication, teaching, leadership, creativity, problem solving",0
"sql, machine learning, cloud computing, leadership, writing",Graphic Designer,"design, creativity, communication",0
"teaching, python, writing, machine learning, cloud computing",Project Manager,"leadership, project management, communication, teamwork",0
"problem solving, javascript, writing, communication, data analysis, debugging",Project Manager,"leadership, project management, communication, teamwork",0
"creativity, leadership, java, python, cloud computing, problem solving, data analysis",Graphic Designer,"design, creativity, communication",0
